Nombre,Informacion adicional,Enlace,Tipo de Experimento,"Detalles (Tipo de tarea (Pensar arriba, pensar mover pie, pensar mover mano), Electrodos - Que electrodos, Canales - numero de electrodos, Protocolo (Graz), tipo de sujetos)",Sampling frequency [Hz],Number of subjects,Experiment time,Size,Number of files,Readme (Y/N),Year,How to download,Author name,Contact
BCIAUTP300,https://www.kaggle.com/disbeat/bciaut-p300,https://www.kaggle.com/disbeat/bciaut-p300,P300,,250,15,200 - 1000 ms,6 GB,135,N,2020,Open access,Marco Simões,https://www.kaggle.com/disbeat/contact
EEG - alpha waves - BCI,https://www.youtube.com/watch?v=EeXUEkGqD98&ab_channel=1BestCsharpblog,https://www.kaggle.com/latimerb/eeg-leftright,EEG,,,1,30 s,37 MB,4,N,2020,Open access,MindAffect,https://www.kaggle.com/latimerb/contact
EEG data for MASD,https://www.kaggle.com/inancigdem/eeg-data-for-mental-attention-state-detection,https://www.kaggle.com/inancigdem/eeg-data-for-mental-attention-state-detection,EEG,,128,25,,300 MB,34,N,2021,Open access,Cigdem Inan ACI,https://www.kaggle.com/inancigdem/contact
mindaffectBCI,https://www.kaggle.com/mindaffect/mindaffectbci,https://www.kaggle.com/mindaffect/mindaffectbci,EEG,,,,,960 MB,60,N,2020,Open access,MindAffect,https://www.kaggle.com/mindaffect/contact
eeg-dataset,https://www.kaggle.com/rounakpatra/eegdataset,https://www.kaggle.com/rounakpatra/eegdataset,EEG,,,30,,211 MB,148,N,2020,Open access,Rounak Patra,https://www.kaggle.com/rounakpatra/contact
TMBCI,https://www.kaggle.com/moitrishdatta/tm-bci,https://www.kaggle.com/moitrishdatta/tm-bci,EEG,,,38,,211 MB,52,Y,2020,Open access,Moitrish Datta,https://www.kaggle.com/moitrishdatta/contact
Data-Portal-Project,https://www.nature.com/articles/sdata2017181,https://fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/sharing_neuro.html#direct-downloads,NMR,,500,637,5 min,1 GB,2,Y,2017,Open access,Michael P. Milham,https://www.nature.com/articles/sdata2017181/email/correspondent/c2/new
"HiRID, a high time-resolution ICU dataset v1.1.1",https://github.com/ratschlab/circEWS,https://physionet.org/content/hirid/1.1.1/,,,,,,,,Y,2020,Credential access,Arjen Stolk,astolk@berkeley.edu
Siena Scalp EEG Database v1.0.0,https://www.ahajournals.org/doi/10.1161/01.CIR.101.23.e215,https://physionet.org/content/siena-scalp-eeg/1.0.0/,Video - EEG,,512,14,Diverse,20.3 GB,51,N,2020,Open access,Paolo Detti,detti@dii.unisi.it
EEG During Mental Arithmetic Tasks v1.0.0,https://www.ahajournals.org/doi/10.1161/01.CIR.101.23.e215,https://physionet.org/content/eegmat/1.0.0/,EEG,,50,36,1 min,175 MB,73,N,2018,Open access,Ivan Seleznov,ivan.seleznov1@gmail.com
Term-Preterm EHG DataSet with Tocogram v1.0.0,https://www.ahajournals.org/doi/10.1161/01.CIR.101.23.e215,https://physionet.org/content/tpehgt/1.0.0/,EHG,,5,23,30 min,40 MB,93,N,2018,Open access,Franc Jager,franc.jager@fri.uni-lj.si
Non-EEG Dataset for Assessment of Neurological Status v1.0.0,https://www.ahajournals.org/doi/10.1161/01.CIR.101.23.e215,https://physionet.org/content/noneeg/1.0.0/,EDA,,,20,21 min 40 s,3.7 MB,101,N,2017,Open access,Javad Birjandtalab,birjandtalab@utdallas.edu
EEG Signals from an RSVP Task v1.0.0,https://www.ahajournals.org/doi/10.1161/01.CIR.101.23.e215,https://physionet.org/content/ltrsvp/1.0.0/,EEG,,"5, 6, 10",11,Diverse,749 MB,62,N,2017,Open access,Ana Matran-Fernandez,amatra@essex.ac.uk
neuroQWERTY MIT-CSXPD Dataset v1.0.0,https://www.ahajournals.org/doi/10.1161/01.CIR.101.23.e215,https://physionet.org/content/nqmitcsxpd/1.0.0/,,,,85,,,,Y,2016,Open access,PhysioNet Support MIT.,webmaster@plos.org
ERP-based Brain-Computer Interface recordings v1.0.0,https://www.ahajournals.org/doi/10.1161/01.CIR.101.23.e215,https://physionet.org/content/erpbci/1.0.0/,EEG,,2048,,,1.7 GB,245,Y,2014,Open access,PhysioNet Support MIT.,webmaster@plos.org
Motion Artifact Contaminated fNIRS and EEG Data v1.0.0,https://www.ahajournals.org/doi/10.1161/01.CIR.101.23.e215,https://physionet.org/content/motion-artifact/1.0.0/,EEG,,2048,32,Diverse,650 MB,99,N,2014,Open access,PhysioNet Support MIT.,webmaster@physionet.org
CHB-MIT Scalp EEG Database v1.0.0,https://www.ahajournals.org/doi/10.1161/01.CIR.101.23.e215,https://physionet.org/content/chbmit/1.0.0/,EEG,,256,22,Diverse,42.6 GB,827,Y,2010,Open access,Ali Shoeb,ashoeb@mit.edu
EEG Motor Movement/Imagery Dataset v1.0.0,https://www.ahajournals.org/doi/10.1161/01.CIR.101.23.e215,https://physionet.org/content/eegmmidb/1.0.0/,EEG,,160,109,2 min,3.4 GB,1526,N,2009,Open access,Dr Gerwin Schalk,schalk@wadsworth.org
Stress Recognition in Automobile Drivers v1.0.0,https://www.ahajournals.org/doi/10.1161/01.CIR.101.23.e215,https://physionet.org/content/drivedb/1.0.0/,EMG,,,17,,109 MB,18,N,2008,Open access,PhysioNet Support MIT.,webmaster@physionet.org
OSF | Classifying MEG high frequency activity,https://psyarxiv.com/4azqm/,https://osf.io/m25n4/,MEG,,55 - 125,,10 min,,121,Y,2018,Open access,Andrew X Stewart,https://github.com/andrewxstewart
Cuban Human Brain Mapping Project,https://springernature.figshare.com/articles/dataset/Metadata_record_for_The_Cuban_Human_Brain_Mapping_Project_a_young_and_middle_age_population-based_EEG_MRI_and_cognition_dataset/13277348,https://www.synapse.org/#!Synapse:syn22324937,EEG,,,,,383 B,1,N,2020,Open access,Eduardo Aubert,aubert@synapse.org
"GigaDB Dataset - DOI 10.5524/100295 - Supporting data for EEG datasets for motor imagery brain computer interface""""",http://gigadb.org/dataset/100295,http://gigadb.org/dataset/100295,EEG,,,52,,9.97 GB,55,Y,2017,Open access,Cho H,database@gigasciencejournal.com
DepositOnce: Simultaneous Acquisition of EEG and NIRS during Cognitive Tasks for an Open Access Dataset,https://www.nature.com/articles/sdata20183,https://depositonce.tu-berlin.de//handle/11303/6271.2,EEG,,1000,26,3.5 h,14.76 GB,56,Y,2018,Open access,Han-Jeong Hwang,https://www.nature.com/articles/sdata20183/email/correspondent/c1/new
"WAY-EEG-GAL: Multi-channel EEG Recordings During 3,936 Grasp and Lift Trials with Varying Weight and Friction",https://www.nature.com/articles/sdata201447,https://figshare.com/collections/WAY_EEG_GAL_Multi_channel_EEG_Recordings_During_3_936_Grasp_and_Lift_Trials_with_Varying_Weight_and_Friction/988376,EEG,,500,12,Diverse,,12,Y,2014,Restricted access,Figshare support,info@figshare.com
OpenNeuro,https://www.nature.com/articles/sdata20151,https://openneuro.org/datasets/ds000117/versions/00004,EEG,,1100,19,250 ms,,196,Y,2015,Open access,Richard N Henson,rik.henson@mrc-cbu.cam.ac.uk
Dryad Data -- Fractionation of parietal function in bistable perception probed with concurrent TMS-EEG,https://www.nature.com/articles/sdata201665,https://datadryad.org/stash/dataset/doi:10.5061/dryad.1nr07,EEG,,2048,18,3 s,9 GB,16,Y,2016,Open access,Georg Schauer,https://www.nature.com/articles/sdata201665/email/correspondent/c1/new
A mobile brain-body imaging dataset recorded during treadmill walking with a brain-computer interface,https://www.nature.com/articles/sdata201874,https://figshare.com/collections/A_mobile_brain-body_imaging_dataset_recorded_during_treadmill_walking_with_a_brain-computer_interface/3894013/1,EEG,,100,8,Diverse,,,Y,2018,Restricted access,Yongtian He,https://www.nature.com/articles/sdata201874/email/correspondent/c1/new
OSF | Open Data: The topography of alpha-band activity tracks the content of spatial working memory,https://journals.physiology.org/doi/10.1152/jn.00860.2015,https://osf.io/bwzfj/,EEG,,250,11,1 h,,,Y,2015,Open access,Joshua J. Foster,joshuafoster@uchicago.edu
OSF | Neural Evidence for the Contribution of Active Suppression During Working Memory Filtering,https://academic.oup.com/cercor/article/29/2/529/4818252,https://osf.io/a65xz/,EEG,,1000,31,1200 ms,,,Y,2018,Open access,Tobias Feldmann-Wüstefeld,tobiasfw@uchicago.edu
OSF | Open Data 2018: Contralateral delay activity tracks fluctuations in working memory performance,https://direct.mit.edu/jocn/article/30/9/1229/28908/Contralateral-Delay-Activity-Tracks-Fluctuations,https://osf.io/8xuk3/,EEG,,250,31,1500 ms,,,Y,2018,Open access,Kirsten C. S. Adam,kadam1@uchicago.edu
OSF Registries | Open Data: Alpha-band oscillations enable spatially and temporally resolved tracking of covert spatial attention,https://journals.sagepub.com/doi/10.1177/0956797617699167,https://osf.io/m64ue,EEG,,,,,,,Y,2017,Restricted access,,
OSF | Nap EEG,https://www.sciencedirect.com/science/article/abs/pii/S0010482517302901?via%3Dihub,https://osf.io/chav7/,EEG,,,,10 s ,,,Y,2017,Open access,Timothy M. Ellmore,tellmore@ccny.cuny.edu
DEAP: A Dataset for Emotion Analysis using Physiological and Audiovisual Signals,https://ieeexplore.ieee.org/document/5871728,http://www.eecs.qmul.ac.uk/mmv/datasets/deap/,EEG,,,32,,,,,2011,Restricted access,Sander Koelstra,sander.koelstra@gmail.com
"Dryad Data -- Electrophysiological correlates of semantic dissimilarity reflect the comprehension of natural, narrative speech",https://www.cell.com/current-biology/fulltext/S0960-9822(18)30146-5?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982218301465%3Fshowall%3Dtrue,https://datadryad.org/stash/dataset/doi:10.5061/dryad.070jc,EEG,,128,19,180 s,13.8 GB,5,N,2018,Open access,Michael P. Broderick,brodermi@tcd.ie
Measuring EMG and EEG simultaneously to determine the EMG pollution in the EEG during a variety of tasks - Enlighten: Research Data,http://researchdata.gla.ac.uk/676/,http://researchdata.gla.ac.uk/676/,EEG/EMG,,,27,,,20,,2018,Restricted access,"Porr, B.",shortcourses@glasgow.ac.uk 
"GigaDB Dataset - DOI 10.5524/100788 - Supporting data for Multimodal signal dataset for 11 intuitive movement tasks from single upper ext ...""",https://academic.oup.com/gigascience/article/9/10/giaa098/5918864,http://gigadb.org/dataset/100788,EEG,,2500,25,,472.47 GB,19,Y,2020,Open access,Seong-Whan Lee,sw.lee@korea.ac.kr
